순위,분,신,종목코드,종목명,현재가,대비,,등락률,매도잔량,매수잔량,거래량,전일비,횟수,L일봉H
1,증,,'306040,에스제이그룹,"10,660",↑,"2,460","+30.00","","93,584","1,357,571","755.87","1",8200 10660 8150 10660
2,증,,'389140,포바이포,"8,670",↑,"2,000","+29.99","","355,084","2,956,929","2,268.99","1",6720 8670 6680 8670
3,증,,'008355,남선알미우,"18,210",↑,"4,200","+29.98","3,609","116","41,496","551.74","3",13720 18210 13720 18210
4,경,,'012860,모베이스전자,"5,680",↑,"1,310","+29.98","","518,170","28,814,899","","1",5680 5680 4570 5680
5,주,,'092780,DYP,"7,890",↑,"1,820","+29.98","","274,196","2,970,968","55.68","6",7080 7890 6700 7890
6,증,,'377220,프롬바이오,"1,544",↑,"356","+29.97","","1,540,787","10,602,121","5,219.20","3",1270 1544 1224 1544
7,증,,'179530,애드바이오텍,"2,430",↑,"560","+29.95","","309,243","747,105","1,288.45","2",1872 2430 1872 2430
8,신,,'050110,캠시스,"517",↑,"119","+29.90","","1,533,785","16,302,314","673.56","2",405 517 405 517
9,경,,'45226K,한화갤러리아우,"10,470",↑,"2,410","+29.90","","27,063","5,578,895","1,109.81","3",9930 10470 8250 10470
10,증,,'012170,아센디오,"2,350",↑,"539","+29.76","","109,450","6,106,156","593.26","3",2310 2350 1922 2350
11,증,,'239340,이스트에이드,"2,180",↑,"500","+29.76","","165,635","5,621,231","1,396.36","2",1788 2180 1769 2180
12,경,,'348340,뉴로메카,"71,900",▲,"15,600","+27.71","16,481","20,938","4,622,870","251.62","4",57000 73100 55700 71900
13,,,'004310,현대약품,"13,190",▲,"2,630","+24.91","14,334","50,783","26,564,028","229.99","2",11330 13720 11300 13190
14,증,,'317240,TS트릴리온,"595",▲,"115","+23.96","178,239","125,516","73,424,630","471.17","2",526 624 490 595
15,증,,'002230,피에스텍,"13,930",▲,"2,670","+23.71","3,909","13,504","3,369,773","465.35","2",11330 14480 11330 13930
16,관,,'049180,셀루메드,"1,818",▲,"336","+22.67","13,456","80,871","23,194,767","549.14","2",1491 1926 1491 1818
17,,,'056080,유진로봇,"26,200",▲,"4,700","+21.86","32,040","38,580","21,324,671","138.92","4",21900 27350 21900 26200
18,증,,'380540,옵티코어,"3,355",▲,"570","+20.47","45,892","39,790","12,877,635","466.09","2",2830 3525 2800 3355
19,열,,'001210,금호전기,"1,204",▲,"204","+20.40","8,382","237,706","7,150,900","99.86","1",1013 1204 1013 1204
20,신,,'032820,우리기술,"4,790",▲,"755","+18.71","198,884","246,378","112,136,606","2,943.80","2",4050 4955 4005 4790
21,주,,'003310,대주산업,"3,885",▲,"580","+17.55","83,002","93,627","17,650,419","675.70","3",3365 4085 3255 3885
22,신,,'200880,서연이화,"16,510",▲,"2,420","+17.18","6,014","15,961","14,636,389","1,550.04","4",14240 18310 14220 16510
23,신,,'010690,화신,"9,840",▲,"1,350","+15.90","7,191","12,809","11,299,573","3,659.38","1",8480 10970 8430 9840
24,증,,'217330,싸이토젠,"8,980",▲,"1,160","+14.83","8,012","12,107","2,804,085","166.29","2",7820 9500 7500 8980
25,경,,'090710,휴림로봇,"12,810",▲,"1,640","+14.68","62,900","41,335","54,047,560","95.57","6",11520 13690 11510 12810
26,증,,'191410,육일씨엔에쓰,"3,000",▲,"360","+13.64","21,191","6,588","1,399,408","758.27","1",2615 3045 2580 3000
27,신,,'014950,삼익제약,"19,340",▲,"2,220","+12.97","4,850","9,435","9,840,505","1,317.07","1",17120 21200 16500 19340
28,증,,'069920,엑시온그룹,"747",▲,"80","+11.99","59,967","366","633,984","300.20","1",667 752 653 747
29,신,,'038500,삼표시멘트,"5,290",▲,"565","+11.96","111,002","229,995","19,038,981","691.32","1",4700 5700 4680 5290
30,증,,'036580,팜스코,"2,630",▲,"275","+11.68","4,676","359","354,912","3,289.57","1",2355 2725 2355 2630
31,신,,'047040,대우건설,"4,430",▲,"460","+11.59","48,708","91,098","40,284,997","955.54","3",4000 4770 3955 4430
32,증,,'291650,압타머사이언스,"1,060",▲,"110","+11.58","3,221","23,244","3,193,149","62.20","2",950 1128 897 1060
33,신,,'457370,한켐,"10,260",▲,"1,060","+11.52","2,185","13,313","4,630,577","252.83","2",9350 11570 9310 10260
34,증,,'236810,엔비티,"2,195",▲,"225","+11.42","9,450","28,645","5,836,717","12,510.65","1",2100 2560 2080 2195
35,증,,'208860,다산디엠씨,"1,448",▲,"142","+10.87","5,150","1,812","135,916","202.21","1",1315 1448 1300 1448
36,신,,'052690,한전기술,"125,400",▲,"12,000","+10.58","2,067","6,000","4,272,729","496.73","1",113800 129000 112400 125400
37,증,,'048410,현대바이오,"5,890",▲,"560","+10.51","58,559","29,062","5,858,012","426.73","3",5330 6050 5270 5890
38,증,,'078890,가온그룹,"6,440",▲,"610","+10.46","14,966","18,171","1,608,622","1,146.22","2",5840 6750 5840 6440
39,신,,'376900,로킷헬스케어,"73,000",▲,"6,800","+10.27","8,413","1,015","2,225,433","248.33","1",66000 76800 64000 73000
40,신,,'067900,와이엔텍,"7,090",▲,"660","+10.26","26,101","3,202","1,293,902","3,274.29","1",6530 7360 6490 7090
41,증,,'340810,시선AI,"2,690",▲,"250","+10.25","11,500","3,590","1,337,015","2,195.90","1",2440 3080 2440 2690
42,신,,'031980,피에스케이홀딩스,"58,400",▲,"5,400","+10.19","17,856","5,429","1,249,093","347.58","5",54000 58500 51000 58400
43,신,,'010130,고려아연,"1,584,000",▲,"146,000","+10.15","1,057","511","238,687","95.53","2",1445000 1597000 1420000 1584000
44,증,,'445680,큐리옥스바이오시스템즈,"108,300",▲,"9,800","+9.95","1,773","766","231,907","147.77","2",100000 108400 99000 108300
45,신,,'437730,삼현,"71,000",▲,"6,300","+9.74","10,108","10,077","3,877,976","364.69","2",65400 76900 64400 71000
46,증,,'317770,엑스페릭스,"2,830",▲,"250","+9.69","24,414","31,046","1,468,406","857.39","1",2570 2915 2555 2830
47,관,,'052770,아이톡시,"1,140",▲,"100","+9.62","23,330","16,660","4,772,170","130.47","1",1015 1345 1000 1140
48,증,,'017180,명문제약,"1,925",▲,"168","+9.56","4,464","8,936","2,030,572","1,475.04","1",1760 2045 1760 1925
49,신,,'000250,삼천당제약,"277,500",▲,"24,000","+9.47","6,529","6,374","1,036,419","146.18","2",257500 292000 247000 277500
50,경,,'049630,재영솔루텍,"5,870",▲,"500","+9.31","222,132","92,883","16,364,397","104.47","4",5430 6190 5160 5870
51,신,,'196170,알테오젠,"514,000",▲,"43,500","+9.25","28,242","19,863","3,890,676","853.82","2",467000 529000 445500 514000
52,신,,'298020,효성티앤씨,"290,000",▲,"24,500","+9.23","2,864","1,436","223,031","171.35","3",266500 309500 265500 290000
53,증,,'171090,선익시스템,"49,650",▲,"4,150","+9.12","15,210","2,370","328,444","420.69","2",46500 50700 45800 49650
54,증,,'001080,만호제강,"45,000",▲,"3,700","+8.96","1,896","5,364","25,521","1,576.34","1",41300 46500 38800 45000
55,신,,'000670,영풍,"53,800",▲,"4,400","+8.91","1,723","2,631","428,974","385.98","2",50500 58500 50000 53800
56,증,,'127120,제이에스링크,"19,840",▲,"1,590","+8.71","22,126","1,640","752,067","329.32","2",19380 20250 18010 19840
57,신,,'244920,에이플러스에셋,"10,730",▲,"850","+8.60","9,634","722","388,556","263.53","1",9810 10750 9810 10730
58,신,,'009420,한올바이오파마,"51,500",▲,"4,050","+8.54","15,051","8,772","3,068,561","543.18","2",47100 55000 46100 51500
59,신,,'006910,보성파워텍,"5,830",▲,"450","+8.36","215,362","125,703","13,171,715","1,290.82","1",5370 5910 5370 5830
60,신,,'079960,동양이엔피,"28,850",▲,"2,200","+8.26","10,318","6,591","221,377","578.34","1",27200 29150 26900 28850
61,신,,'012610,경인양행,"5,000",▲,"380","+8.23","43,389","13,322","3,889,194","306.42","2",4620 5180 4620 5000
62,신,,'038460,바이오스마트,"4,320",▲,"325","+8.14","17,544","38,322","4,176,324","558.07","1",3950 4390 3910 4320
63,증,,'255440,야스,"10,610",▲,"780","+7.93","6,509","1,927","154,329","398.55","1",9830 10970 9690 10610
64,,,'314130,지놈앤컴퍼니,"7,000",▲,"510","+7.86","26,874","14,584","1,769,047","227.96","2",6630 7500 6450 7000
65,신,,'466100,클로봇,"67,500",▲,"4,900","+7.83","20,118","21,039","14,100,877","607.33","2",63500 74000 63100 67500
66,신,,'309710,아이티켐,"36,500",▲,"2,600","+7.67","3,031","1,903","531,097","151.91","2",33900 37400 33050 36500
67,신,,'066575,LG전자우,"52,500",▲,"3,700","+7.58","12,828","3,463","364,418","553.57","4",50000 54000 49700 52500
68,증,,'009810,플레이그램,"261",▲,"18","+7.41","70,657","194,310","12,319,209","2,221.45","1",246 306 241 261
69,신,,'003200,일신방직,"12,450",▲,"850","+7.33","2,111","250","174,260","398.36","3",11690 12800 11680 12450
70,,,'251630,브이원텍,"6,940",▲,"470","+7.26","7,854","2,212","1,438,439","268.30","3",6500 7550 6390 6940
71,신,,'145020,휴젤,"244,000",▲,"16,500","+7.25","2,250","943","255,174","232.30","1",233000 249000 223500 244000
72,신,,'015750,성우하이텍,"7,590",▲,"510","+7.20","30,395","82,298","15,457,398","1,410.46","1",7140 8530 7100 7590
73,증,,'270520,앱튼,"363",▲,"24","+7.08","74,988","74,545","4,332,594","209.34","1",340 389 338 363
74,증,,'368600,아이씨에이치,"1,006",▲,"66","+7.02","3,368","18,852","2,031,603","764.40","1",944 1189 944 1006
75,관,,'027040,서울전자통신,"215",▲,"14","+6.97","109,075","146,594","584,062","127.10","1",197 215 194 215
76,증,,'338840,와이바이오로직스,"26,300",▲,"1,700","+6.91","7,251","2,835","549,368","292.54","2",24600 27100 23600 26300
77,신,,'457550,우진엔텍,"23,400",▲,"1,500","+6.85","14,406","18,534","842,100","1,322.60","1",21800 24500 21800 23400
78,신,,'140860,파크시스템스,"242,500",▲,"15,500","+6.83","3,805","630","122,598","262.63","1",227500 244000 227000 242500
79,증,,'290740,액트로,"23,750",▲,"1,500","+6.74","14,147","7,150","577,132","148.10","1",22250 24400 21700 23750
80,신,,'456160,지투지바이오,"83,000",▲,"5,200","+6.68","2,621","14,274","9,756,008","505.46","3",76500 90400 72500 83000
81,증,,'053060,세동,"1,583",▲,"99","+6.67","10,232","9,541","1,942,602","38.53","4",1509 1678 1473 1583
82,신,,'007860,서연,"10,670",▲,"660","+6.59","9,211","2,138","2,368,406","1,719.99","1",10450 11990 10450 10670
83,환,,'304840,피플바이오,"1,252",▲,"77","+6.55","4,306","19,889","367,997","257.63","1",1175 1260 1138 1252
84,신,,'443250,레뷰코퍼레이션,"11,000",▲,"670","+6.49","879","3,483","38,246","221.46","1",10350 11010 10350 11000
85,신,,'241520,DSC인베스트먼트,"7,630",▲,"460","+6.42","18,548","24,645","4,388,142","1,112.93","1",7160 8180 7160 7630
86,,,'038540,상상인,"1,896",▲,"114","+6.40","10,242","935","281,034","24.53","4",1783 1940 1765 1896
87,,,'0015G0,그린광학,"27,800",▲,"1,650","+6.31","22,776","33,976","2,903,019","142.69","2",27400 29050 26650 27800
88,신,,'088340,유라클,"14,830",▲,"880","+6.31","1,526","2,605","1,050,234","304.45","2",14100 16600 13960 14830
89,신,,'003490,대한항공,"24,450",▲,"1,450","+6.30","500,824","244,940","21,880,970","735.68","1",23000 25050 23000 24450
90,관,,'180400,DXVX,"3,805",▲,"225","+6.28","15,221","15,924","768,466","556.98","1",3600 3920 3540 3805
91,증,,'276040,스코넥,"1,092",▲,"64","+6.23","6,343","2,507","925,065","26.43","2",1029 1115 1029 1092
92,신,,'215100,로보로보,"8,880",▲,"520","+6.22","21,640","34,774","13,000,560","391.83","5",8430 10090 8120 8880
93,,,'217500,러셀,"3,260",▲,"190","+6.19","43,601","13,535","16,180,711","479.81","1",3100 3625 2950 3260
94,주,,'452260,한화갤러리아,"2,235",▲,"130","+6.18","301,236","733,352","162,878,693","252.78","4",2400 2635 2100 2235
95,신,,'054300,팬스타엔터프라이즈,"725",▲,"42","+6.15","73,513","28,183","1,810,376","294.45","1",683 729 668 725
96,증,,'067290,JW신약,"2,070",▲,"120","+6.15","96,909","107,614","14,330,246","92.01","2",1971 2250 1932 2070
97,펀,,'0091P0,TIGER 코리아원자력,"13,485",▲,"775","+6.10","24,033","57,802","7,076,680","365.57","6",12760 13570 12730 13485
98,증,,'123750,알톤,"1,747",▲,"100","+6.07","23,867","15,319","271,513","141.69","3",1647 1762 1646 1747
99,증,,'700035,하나 인버스 2X K방산TOP10 ETN,"12,210",▲,"695","+6.04","93,602","89,010","75,097","119.13","1",11630 12375 11630 12210
100,,,'052860,아이앤씨,"2,730",▲,"155","+6.02","10,159","18,234","399,501","912.54","3",2590 2805 2585 2730
